id;i_d;name;phone;address;web_url
1;41418;aXX;0460711166;harness Bahamas;purple Personal
2;21793;Pizza Manager models;0486739356;Avon Account;integrated multi-state
3;4634;navigate attitude;0691930992;monetize;SAS
4;4547;b neural multi-byte;+33 258229;Tools;Laos
5;34674;Panama payment a;0301433446;upward-trending;SMTP
6;16560;connecting c;0601752632;USB;Thaïlande Corse
7;27120;Outdoors;0518869515;Saint-Séverin Soft;Rhône-Alpes indexing
8;45935;SMS;+33 235369;reintermediate Chips Account;fault-tolerant Sports
9;52124;Towels Andorre Palladium;+33 156476;Mauritanie global;Pizza and Technicien
10;37043;synthesizing;0515140850;Re-contextualized Provence;c niches Salad
