id;i_d_order;i_d_coop;i_d_customer;i_d_course;price;date;order_state
1;48469;32217;74058;74141;224;2022-04-14T15:57:00;OnTheWay
2;66933;34818;96959;63528;207;2022-04-15T00:00:15;OnTheWay
3;6249;69947;20742;55341;81;2022-04-14T15:31:47;OnTheWay
4;49140;50210;44495;39702;148;2022-04-14T18:59:40;Cooking
5;96360;61547;80077;29939;56;2022-04-14T16:35:06;PickedUp
6;36148;67206;1403;87119;143;2022-04-14T23:25:10;Cooking
7;3682;37759;40818;60230;270;2022-04-14T19:58:41;OnTheWay
8;61533;47723;55341;81431;146;2022-04-15T10:39:17;Cooking
9;74641;14645;14754;44552;179;2022-04-14T14:42:29;Delivered
10;54519;29068;66445;7374;13;2022-04-14T18:22:06;Delivered
